,title,url,rate,teach_rate,new_carr,advent,earn_more,level,lang,exec_time,chap_cnt,course_dur,chap_avg_dur,edu_name
582,Collaborative Foresight: How to Game the Future,https://ru.coursera.org/learn/collaborative-foresight?specialization=futures-thinking,4.8,,,,,1.0,2.0,,5,900,180.0,Институт будущего
583,Основы виртуального обучения ,https://ru.coursera.org/learn/virtual-school?specialization=virtual-teacher,4.3,4.44,57.0,36.0,,,2.0,,5,660,132.0,Калифорнийский университет в Ирвайне
584,Перспективные тенденции и технологии в виртуальном классе K-12,https://ru.coursera.org/learn/k-12-education?specialization=virtual-teacher,4.6,4.76,,30.0,10.0,,2.0,,5,600,120.0,Калифорнийский университет в Ирвайне
585,Продвинутые образовательные стратегии в виртуальном классе,https://ru.coursera.org/learn/teaching-strategies?specialization=virtual-teacher,4.5,4.73,,33.0,,,2.0,,5,480,96.0,Калифорнийский университет в Ирвайне
586,Оценка успеваемости в виртуальной классной аудитории,https://ru.coursera.org/learn/performance-assessment?specialization=virtual-teacher,4.5,4.71,,20.0,25.0,,2.0,,5,660,132.0,Калифорнийский университет в Ирвайне
587,The Strategy of Content Marketing,https://ru.coursera.org/learn/content-marketing,4.5,4.64,54.0,41.0,,2.0,2.0,,5,1200,240.0,Калифорнийский университет в Девисе
588,Machine Learning Foundations: A Case Study Approach,https://ru.coursera.org/learn/ml-foundations,4.6,4.71,32.0,30.0,,,2.0,,6,780,130.0,Вашингтонский университет
589,Machine Learning: Regression,https://ru.coursera.org/learn/ml-regression,4.8,4.75,44.0,43.0,18.0,,2.0,,6,840,140.0,Вашингтонский университет
590,Machine Learning: Classification,https://ru.coursera.org/learn/ml-classification,4.7,4.65,46.0,48.0,19.0,,2.0,,7,780,111.42857142857143,Вашингтонский университет
591,Machine Learning: Clustering & Retrieval,https://ru.coursera.org/learn/ml-clustering-and-retrieval,4.6,4.83,37.0,38.0,,,2.0,,6,780,130.0,Вашингтонский университет
592,International Women's Health and Human Rights,https://ru.coursera.org/learn/womens-health-human-rights,4.9,4.8,33.0,35.0,12.0,1.0,2.0,,10,2940,294.0,Стэнфордский университет
593,Structuring Machine Learning Projects,https://ru.coursera.org/learn/machine-learning-projects,4.8,4.92,36.0,38.0,14.0,1.0,2.0,,2,300,150.0,deeplearning.ai
594,Маркетинговая аналитика,https://ru.coursera.org/learn/uva-darden-market-analytics,4.6,4.75,45.0,28.0,,1.0,2.0,,5,1020,204.0,Виргинский университет
595,Introduction to User Experience Design ,https://ru.coursera.org/learn/user-experience-design,4.5,4.57,33.0,33.0,,1.0,2.0,,5,360,72.0,Технологический институт Джорджии
596,Introduction to C# Programming and Unity,https://ru.coursera.org/learn/introduction-programming-unity?specialization=programming-unity-game-development,4.7,4.8,41.0,29.0,,1.0,2.0,,4,1620,405.0,Система университетов штата Колорадо
